timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-08-19T00:00:00.000Z,2023-08-19T23:59:59.999Z,2023-08-19T17:00:00.000Z,2023-08-19T07:20:00.000Z,2781,216.1444827825,218.9975908586,214.3288438049,216.9994472153,477267427.54,33385777381.9,2023-08-19T23:59:59.999Z
2023-08-18T00:00:00.000Z,2023-08-18T23:59:59.999Z,2023-08-18T00:10:00.000Z,2023-08-18T03:22:00.000Z,2781,218.5657298052,220.1370055609,214.0222491255,216.112548643,567051050.26,33249357708.94,2023-08-18T23:59:59.999Z
2023-08-17T00:00:00.000Z,2023-08-17T23:59:59.999Z,2023-08-17T00:16:00.000Z,2023-08-17T21:52:00.000Z,2781,231.8725797466,232.1050586845,214.5474335482,218.5358420485,786294217.62,33622225777.67,2023-08-17T23:59:59.999Z
2023-08-16T00:00:00.000Z,2023-08-16T23:59:59.999Z,2023-08-16T00:22:00.000Z,2023-08-16T21:22:00.000Z,2781,236.6897038038,237.0142223082,231.2051647657,231.8687499668,461572144.2,35673568328.27,2023-08-16T23:59:59.999Z
2023-08-15T00:00:00.000Z,2023-08-15T23:59:59.999Z,2023-08-15T01:13:00.000Z,2023-08-15T19:16:00.000Z,2781,240.3504669423,240.4103015204,235.3605318349,236.6795738891,482870297.16,36411284995.21,2023-08-15T23:59:59.999Z
2023-08-14T00:00:00.000Z,2023-08-14T23:59:59.999Z,2023-08-14T05:01:00.000Z,2023-08-14T02:22:00.000Z,2781,240.0412745529,241.0249274095,239.7473669671,240.3392438653,381157536.01,36976850145.7,2023-08-14T23:59:59.999Z
2023-08-13T00:00:00.000Z,2023-08-13T23:59:59.999Z,2023-08-13T20:05:00.000Z,2023-08-13T22:43:00.000Z,2781,240.2696905138,241.6295887235,239.9025931807,240.0333445417,296580782.84,36929825440.41,2023-08-13T23:59:59.999Z
2023-08-12T00:00:00.000Z,2023-08-12T23:59:59.999Z,2023-08-12T13:34:00.000Z,2023-08-12T00:13:00.000Z,2781,239.7035625022,241.0026122047,239.4037738667,240.2736169342,284512148.64,36966826102.04,2023-08-12T23:59:59.999Z
2023-08-11T00:00:00.000Z,2023-08-11T23:59:59.999Z,2023-08-11T01:34:00.000Z,2023-08-11T16:14:00.000Z,2781,241.2607256209,241.9139173252,238.3598000052,239.7068963883,386856576.31,36879667898.93,2023-08-11T23:59:59.999Z
2023-08-10T00:00:00.000Z,2023-08-10T23:59:59.999Z,2023-08-10T02:18:00.000Z,2023-08-10T19:34:00.000Z,2781,243.8855401305,243.9260949128,240.3945929471,241.2624696955,365863689.57,37119032079.6,2023-08-10T23:59:59.999Z
