day,unique_addresses,total_transactions,total_value_transferred,average_gas_price,total_gas_used,successful_transactions
2023-08-29,1191794,3154062,1317215516840873770670900,5429661470.175086,372094570004,2990243
2023-08-30,1112726,2885111,682391062175141528251451,6343423776.832738,335736563063,2742303
2023-08-31,1201980,3191512,1382161873850253269594969,4714828000.429896,387335280836,3019428
2023-09-01,1256241,3337094,4357210514717488058558635,4811663615.497757,391597411076,3166793
2023-09-02,1192305,3012447,1275396555487249600950936,4714260261.069132,337873620006,2884976
2023-09-03,1117219,2843462,513842275986224218023093,4651621229.646712,320123235689,2722071
2023-09-04,1217200,3126470,750612245192838157698827,4812778642.276849,384973240223,2968145
2023-09-05,1209403,3109644,385021682233433661278442,4818242168.182768,703004737830,2933995
2023-09-06,1225122,3088150,388171494648514689384157,4847358348.357753,783047417675,2938637
2023-09-07,1237543,3179421,488910218432716870227126,4810512068.250872,362328004599,3028964
2023-09-08,1188294,3031736,469670076424733335900197,4946672424.241499,333546318030,2895723
2023-09-09,1085582,2736086,324112925983631042608855,4747078888.566663,305676324197,2627220
2023-09-10,1068648,2676907,455718025507131615786820,4975002770.60626,301425268068,2563374
2023-09-11,1169471,2997072,578051645909579095998854,5886136508.637303,332527959493,2847702
2023-09-12,1268564,3230064,586224964931385281011484,7411423697.600515,337618557668,3045537
2023-09-13,1278117,3020498,500746492503807449829938,4401823482.895375,309666449893,2892576
2023-09-14,1214139,3147924,465304532298751068480691,4387987034.762852,481874067429,3010120
2023-09-15,1262143,3244346,633983865926741866693508,5050204086.846683,442843763674,3092760
2023-09-16,1214383,3074308,528146441255192183901525,4303577096.7944,384160116799,2948192
2023-09-17,1178857,2891154,559962324194342554968552,4469980416.973558,345611141454,2779930
2023-09-18,1317291,3241849,631622976778311570000684,5127830916.537752,382479236080,3078165
2023-09-19,1355503,3149889,583234675421685494749728,5184099011.959655,352620624692,3020494
2023-09-20,1253503,3060615,433704700847227795559265,4587790193.918877,357187471564,2920560
2023-09-21,1233714,3122597,460996405874983965209281,5097406244.247283,383212652238,2961474
2023-09-22,1214953,3064431,446428044382966811180266,4967968483.320147,364264044919,2903601
2023-09-23,1160812,2798801,456605487533923845741455,4398898543.5261965,323172249363,2694399
2023-09-24,1168361,2823987,354231061603398481505257,5388589106.221621,309760767639,2704652
2023-09-25,1276824,3093780,427488652789660110109541,4653178744.898872,361496460301,2976621
2023-09-26,1379382,3069703,2372581776278788631373991,4593457820.344171,356655531588,2957295
2023-09-27,1350554,3038582,537077055036574539724180,4412389040.712405,342602872058,2921857
2023-09-28,1374744,3103425,559780578018197923314178,5149707809.276108,337498519841,2985587
2023-09-29,1225947,2864168,494151165388714214075409,4638719005.850823,316157109917,2754740
2023-09-30,1197382,2766672,403908150404157367197333,4551202275.930987,301800541856,2673956
2023-10-01,1196065,2745324,1265363468840079224745157,4610637139.639912,309565453915,2639126
2023-10-02,1225186,2911973,631462138593782850820187,5402093473.58328,331277731271,2790713
2023-10-03,1234917,2870349,495584013547141424994368,4643094225.948506,349646512560,2761755
2023-10-04,1184848,2839462,629642281283995266708087,4848880923.594615,367794250005,2724998
2023-10-05,1192939,2818958,511336694831040058881374,5292709868.482915,335844530000,2709011
2023-10-06,1251522,2864276,644119144633570402522370,5478592342.635799,345071211083,2747151
2023-10-07,1221504,2743740,514495252464030876589173,5259156170.356962,331702052416,2646730
2023-10-08,1221403,2712488,477082986424422438592994,4530910404.925306,331092928125,2607558
2023-10-09,1259019,2933092,642374321822120606352831,4787729410.308424,327474515210,2805645
2023-10-10,1349231,3015411,1863240561236072149405869,7244667260.86499,327546046757,2904836
2023-10-11,1355249,2979593,1394137014309425508564550,4755804771.771772,328222009400,2870307
2023-10-12,1392722,3022619,547681890020799239384800,5820636084.679229,329797996684,2901908
2023-10-13,1311304,2925299,688905708353923564566713,4793845356.449599,343617076393,2809215
2023-10-14,1214198,2652544,1434682016554716850457576,5039188544.370947,290094047717,2553497
2023-10-15,1228294,2696912,541687886559930926026622,4284662037.3398404,291020694051,2585960
2023-10-16,1444189,3203416,714059839805834011334117,5159509073.986757,361805882507,3070924
2023-10-17,1368608,3081521,805728833350370324709439,4737387893.312093,356381214958,2954136
2023-10-18,1391248,3089621,670579537937688136024784,8107038680.802172,347952282646,2950773
2023-10-19,1323975,3047023,483242815423277586142416,6524565192.400396,334513655551,2904380
2023-10-20,1328824,3128870,560512789126407621162763,5100948562.331459,352212641090,2997664
2023-10-21,1147352,2635104,517085744862862282339682,4888586556.579556,310483444621,2522893
2023-10-22,1085549,2499846,387749041362650470924010,4782061948.405218,297619067881,2392536
2023-10-23,1320968,3218867,778204407328327333688936,7480953066.214112,378305179957,3047879
2023-10-24,1341621,3363969,888610644788092817868626,6236677147.339479,397028048005,3165846
2023-10-25,1351646,3254597,796106547206940036351641,5933204267.435126,386353338233,3076779
2023-10-26,1334051,3187516,678822239200238398051161,5026026324.512346,384174411769,2990388
2023-10-27,1390623,3632879,1846487575431916849125439,5820203226.001205,427558277623,3135752
2023-10-28,1339197,3011509,2203518796866219602147579,5093236800.244617,354004972141,2875392
2023-10-29,1210450,2925428,857733049809628398097335,5609913539.445368,353792721676,2757915
2023-10-30,1378285,3234958,1273624601233534665404139,5778591932.042474,387103375750,3082337
2023-10-31,1380175,3238176,766172757957005461617636,5966347319.63184,412440119354,3080790
2023-11-01,1393044,3274062,741030996286710313823078,6023391037.654856,380856269569,3096903
2023-11-02,1349067,3384297,1329531364790251819301490,7743883076.371735,390165720511,3178279
2023-11-03,1242996,3058959,1920553095599438931227507,5910589174.598393,373712727985,2881991
2023-11-04,1144115,2885842,1039161990873897137490101,6144597734.804961,336297549429,2726546
2023-11-05,1187075,3129298,1674456980236350670593277,8056227435.408906,382642118945,2893328
2023-11-06,1274145,3310229,1257589329250162826925987,7023661414.858515,387528382339,3101709
2023-11-07,1206634,3200956,833568423649632559915293,5998072360.721172,376704150155,2991574
2023-11-08,1235077,3202796,735534866617331029866783,7333946742.83537,375944010181,3023771
2023-11-09,1339828,4374383,2621972574523150715727126,7632795122.791631,450562951321,4094514
2023-11-10,1335165,3524710,4393831241784880402313732,7257717388.85376,380440080254,3202991
2023-11-11,1279021,3355092,726639523002638817667837,5974732096.109078,379298872257,3105514
2023-11-12,1211099,3105853,651206442463689028442846,7031793395.133933,358004617702,2917045
2023-11-13,1297296,3328869,790781386666858793926779,8493114005.493695,383325479319,3117585
2023-11-14,1287023,3536486,820841243698677821283930,6004264223.332018,380589885431,3320331
2023-11-15,1262995,3495035,977326277300209207273234,6236173104.090864,383732573937,3298430
2023-11-16,1288540,4804087,809572198541650056389053,4998911336.443887,411996388844,4575434
2023-11-17,1238700,8354137,646568610838022449395478,3672657387.322936,504107623317,8144951
2023-11-18,1121280,4623489,556693752169353236419462,6590421196.799051,363171716305,4479930
2023-11-19,1076485,9511510,538420524970639066940024,3187461389.8829784,476779550849,9368135
2023-11-20,1223303,4575024,1092539737846135891264109,4816186242.001296,414200810404,4361439
2023-11-21,1203122,3691571,2795777194316552113412396,6246498887.67559,437132033622,3366173
2023-11-22,1264249,3544617,1129215889719376355100401,6828281877.795558,409981523186,3304530
2023-11-23,1247717,3261512,1321198366440266724293730,6816841390.862712,369137286816,3066719
2023-11-24,1343357,3342502,927956084191959165495887,5876500766.320482,365552191932,3158247
2023-11-25,1167161,2926261,563722722370380248032175,5624509369.131801,324762724909,2767388
2023-11-26,1161500,2995215,962292096540296442827586,6515537467.031564,338994011007,2820113
2023-11-27,1287409,3331172,4520138690321033227191833,6389038544.839776,367142882687,3118275
2023-11-28,1285466,3403628,732871866141613803674287,7968459965.950348,376281116715,3196630
2023-11-29,1270020,3218584,750280020319498894884947,6588219433.513151,354073565340,3038722
2023-11-30,1283597,3320813,745073108271362090402366,6344651607.864156,379706697357,3132282
2023-12-01,1279408,3340856,724223506317479585138259,6407743232.460088,368683620366,3151292
2023-12-02,1172424,3156531,670743808751575130303815,8646005239.531885,351525700112,2960196
